source_id,document,url,resolves,http_status,final_url,content_type,bytes,sha256,sha_manifest,sha_matches_manifest,wayback_url,retrieved,checked,notes
claude-opus-4-sonnet-4-system-card-may-2025,Claude Opus 4 & Sonnet 4 System Card (May 2025),https://www-cdn.anthropic.com/4263b940cabb546aa0e3283f35b686f4f3b2ff47.pdf,Y,200,https://www-cdn.anthropic.com/4263b940cabb546aa0e3283f35b686f4f3b2ff47.pdf,application/pdf,4876911,48d4d98c5767d02308ba68b595e344c4fd53fbef11f0f9ac351e8752a9129764,48d4d98c5767d02308ba68b595e344c4fd53fbef11f0f9ac351e8752a9129764,Y,,2026-07-03,2026-07-10,cached claude-opus-4-sonnet-4-system-card-may-2025.pdf
claude-3-7-sonnet-system-card-feb-2025,Claude 3.7 Sonnet System Card (Feb 2025),https://www.anthropic.com/claude-3-7-sonnet-system-card,Y,200,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e/claude-3-7-sonnet-system-card.pdf,application/pdf,5974368,82947a46fc2d1b9a1d69501ef973fc3c5b328b703b9a17bd8a143c2672f8a1a6,82947a46fc2d1b9a1d69501ef973fc3c5b328b703b9a17bd8a143c2672f8a1a6,Y,,2026-07-10,2026-07-10,cached claude-3-7-sonnet-system-card-feb-2025.pdf
claude-3-5-sonnet-model-card-addendum-jun-2024,Claude 3.5 Sonnet Model Card Addendum (Jun 2024),https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,Y,200,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,application/pdf,406339,ac396c7f155dcbfb33ceb342b48647e330ca518c01c7f508001d6aad93257a03,,,,2026-07-10,2026-07-10,cached claude-3-5-sonnet-model-card-addendum-jun-2024.pdf
claude-opus-4-5-system-card-nov-2025,Claude Opus 4.5 System Card (Nov 2025),https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf,Y,200,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,application/pdf,11499930,33be92efcb58f901d9d2c17e61bf277afbd514a1ac70a642f21e918c21ca25a8,33be92efcb58f901d9d2c17e61bf277afbd514a1ac70a642f21e918c21ca25a8,Y,,2026-07-10,2026-07-10,cached claude-opus-4-5-system-card-nov-2025.pdf
claude-opus-4-6-system-card-feb-2026,Claude Opus 4.6 System Card (Feb 2026),https://www-cdn.anthropic.com/6a5fa276ac68b9aeb0c8b6af5fa36326e0e166dd.pdf,Y,200,https://www-cdn.anthropic.com/6a5fa276ac68b9aeb0c8b6af5fa36326e0e166dd.pdf,application/pdf,13208951,4db67c6b6aea0a87e7f8a784b83fc05a0f1a61a3e87615fe7956e3486b951b3c,4db67c6b6aea0a87e7f8a784b83fc05a0f1a61a3e87615fe7956e3486b951b3c,Y,,2026-07-10,2026-07-10,cached claude-opus-4-6-system-card-feb-2026.pdf
claude-opus-4-7-system-card-apr-2026,Claude Opus 4.7 System Card (Apr 2026),https://www-cdn.anthropic.com/037f06850df7fbe871e206dad004c3db5fd50340/Claude%20Opus%204.7%20System%20Card.pdf,Y,200,https://www-cdn.anthropic.com/037f06850df7fbe871e206dad004c3db5fd50340/Claude%20Opus%204.7%20System%20Card.pdf,application/pdf,14231870,a7729a0e5eb61dc6818f553ae3c27ab774411cd5ab4ed7f414456d74a05c26d2,a7729a0e5eb61dc6818f553ae3c27ab774411cd5ab4ed7f414456d74a05c26d2,Y,,2026-07-10,2026-07-10,cached claude-opus-4-7-system-card-apr-2026.pdf
claude-opus-4-8-system-card-may-2026,Claude Opus 4.8 System Card (May 2026),https://www-cdn.anthropic.com/0b4915911bb0d19eca5b5ee635c80fef830a37ea.pdf,Y,200,https://www-cdn.anthropic.com/0b4915911bb0d19eca5b5ee635c80fef830a37ea.pdf,application/pdf,20600475,97f11ae3fb305c7105c958599bcf90f216669543393220f674610ddb83ee611a,97f11ae3fb305c7105c958599bcf90f216669543393220f674610ddb83ee611a,Y,,2026-07-10,2026-07-10,cached claude-opus-4-8-system-card-may-2026.pdf
anthropic-rsp-v3-3-may-2026,Anthropic RSP v3.3 (May 2026),https://www.anthropic.com/rsp,Y,200,https://www.anthropic.com/responsible-scaling-policy,text/html; charset=utf-8,186173,ce155af15f98c5f3f7a69848c74c8eb7404c6f548ec31c16fef2b5f0f1be14f0,,,,2026-07-10,2026-07-10,cached anthropic-rsp-v3-3-may-2026.html
openai-gpt-5-5-system-card-apr-2026,OpenAI GPT-5.5 System Card (Apr 2026),https://deploymentsafety.openai.com/gpt-5-5/,Y,200,https://deploymentsafety.openai.com/gpt-5-5,text/html,692401,cacf690b402b18eda80a2dbc689cff78d5b951cedbbf5e60ef1a05aba6fb3e91,,,,2026-07-10,2026-07-10,cached openai-gpt-5-5-system-card-apr-2026.html
openai-gpt-5-6-preview-system-card-25-jun-2026,OpenAI GPT-5.6 Preview System Card (25 Jun 2026),https://deploymentsafety.openai.com/gpt-5-6-preview/,Y,200,https://deploymentsafety.openai.com/gpt-5-6-preview,text/html,896942,ad0b79d1a70e0f6614d1110967639b0e97b2fe41d47912d983e46b77e2a336db,,,,2026-07-10,2026-07-10,cached openai-gpt-5-6-preview-system-card-25-jun-2026.html
